code;control;description;libellé NL;libellé EN;code assignation;assignation;% Propriétaire;% Locataire
1;1;DETTES À PLUS D'UN AN;SCHULDEN OP MEER DAN ÉÉN JAAR;DEBTS OVER MORE THAN ONE YEAR;;;;
100;1;FONDS DE ROULEMENT;WERKKAPITAAL;WORKING CAPITAL;;;;
100000;;Fonds de roulement;Werkkapitaal;Working capital;working_capital;Fonds de roulement;;
12;1;SOLDE EN ATTENTE SUR TRAVAUX;OPENSTAAND SALDO WERKEN;OUTSTANDING BALANCE WORKS;pending_work_balance;Solde attente travaux;;
14;1;RÉSULTAT EXERCICE;RESULTAAT BOEKINGSPERIODE;RESULT BOOKING PERIOD;;;;
160;1;FONDS DE RÉSERVE;RESERVEFONDS;RESERVE FUND;;;;
160000;;Fonds de réserve;Reservefonds;Reserve fund;reserve_fund;Fonds de réserve;;
160001;;Fonds de réserve (1);Reservefonds (1);Reserve fund (1);;;;
160002;;Fonds de réserve (2);Reservefonds (2);Reserve fund (2);;;;
160003;;Fonds de réserve (3);Reservefonds (3);Reserve fund (3);;;;
161;1;FONDS DE RÉSERVE PARTICULIER;BIJZONDER RESERVEFONDS;SPECIAL RESERVE FUND;;;;
161000;;Fonds de réserve particulier;Bijzonder reservefonds;Special reserve fund;work_fund_call;Appel de fonds travaux;;
17;1;DETTES À PLUS D'UN AN;SCHULDEN OP MEER DAN ÉÉN JAAR;DEBTS OVER MORE THAN ONE YEAR;;;;
170;;Emprunts subordonnés;Achtergestelde leningen;Subordinated loans;;;;
171;;Emprunts obligataires non subordonnés;Niet-achtergestelde obligatieleningen;Non-subordinated bond loans;;;;
172;;Dettes de location-financement;Leasingschulden;Leasing debts;;;;
173;;Etablissements de crédit;Kredietinstellingen;Credit institutions;;;;
1730;;Dettes en compte;Schulden op rekening;Debts on account;;;;
1731;;Promesses;Promessen;Promissory notes;;;;
1732;;Crédits d'acceptation;Acceptkredieten;Acceptance credits;;;;
174;;Autres emprunts;Overige leningen;Other loans;;;;
175;;Dettes commerciales;Handelsschulden;Trade debts;;;;
179;;Dettes diverses;Overige schulden;Other debts;;;;
2;1;IMMOBILISATIONS ET CAUTIONNEMENTS;VASTE ACTIVA EN BORGTOCHTEN;FIXED ASSETS AND GUARANTEES;;;;
21;1;IMMOBILISATION INCORPORELLES;IMMATERIËLE VASTE ACTIVA;INTANGIBLE FIXED ASSETS;;;;
211;;Concessions, brevets, licences, savoir-faire, marques et droits similaires;Concessies, octrooien, licenties, know-how, merken en soortgelijke rechten;Concessions, patents, licenses, know-how, trademarks, and similar rights;;;;
213;;Acomptes versés;Vooruitbetalingen;Advance payments;;;;
23;1;INSTALLATIONS, MACHINES ET OUTILLAGE;INSTALLATIES, MACHINES EN UITRUSTING;INSTALLATIONS, MACHINERY AND EQUIPMENT;;;;
24;1;MOBILIER ET MATÉRIEL ROULANT;MEUBILAIR EN ROLLEND MATERIAAL;FURNITURE AND VEHICLES;;;;
25;1;IMMOBILISATIONS DÉTENUES EN LOCATION-FINANCEMENT;VASTE ACTIVA IN LEASING;FIXED ASSETS IN LEASING;;;;
251;;Installations, machines et outillage;Installaties, machines en uitrusting;Installations, machinery, and equipment;;;;
252;;Mobilier et matériel roulant;Meubilair en rollend materieel;Furniture and vehicles;;;;
26;1;AUTRES IMMOBILISATIONS CORPORELLES;ANDERE MATERIËLE VASTE ACTIVA;OTHER TANGIBLE FIXED ASSETS;;;;
28;1;CAUTIONNEMENTS VERSÉS;BETAALDE BORGTOCHTEN;PAID GUARANTEES;;;;
3;1;STOCKS;VOORRAAD;INVENTORY;;;;
3111;;Stock clés;Voorraad sleutels;Key inventory;;;;
3112;;Stock télécommandes;Voorraad afstandsbedieningen;Remote control inventory;;;;
3120;;Stock badges;Voorraad badges;Badge inventory;;;;
